epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.8613,1.35923,2.47742,1.29051,0.62186,0.5183,0.54936,0.40785,1.09899,1.69634,1.09891,8.82e-06,8.82e-06,8.82e-06
2,4.54777,1.37169,2.38473,1.33673,0.63119,0.53291,0.56831,0.42093,1.09272,1.63176,1.0951,1.99009e-05,1.99009e-05,1.99009e-05
3,6.26189,1.13773,2.01249,1.2034,0.65367,0.56061,0.60398,0.4559,1.03483,1.47566,1.07432,3.02056e-05,3.02056e-05,3.02056e-05
4,7.97053,1.18395,1.87312,1.23074,0.68021,0.59569,0.64492,0.49936,0.96621,1.30974,1.05055,3.97341e-05,3.97341e-05,3.97341e-05
5,9.65042,0.96371,1.33067,1.08085,0.70122,0.60966,0.66555,0.5223,0.92937,1.23712,1.03788,4.84865e-05,4.84865e-05,4.84865e-05
6,11.3328,0.99526,1.5142,1.11852,0.72012,0.62247,0.68572,0.54732,0.88331,1.16376,1.02317,5.64627e-05,5.64627e-05,5.64627e-05
7,13.0122,0.91486,1.13608,1.08518,0.74187,0.62646,0.70028,0.56829,0.84242,1.11133,1.01055,6.36628e-05,6.36628e-05,6.36628e-05
8,14.6828,0.89465,1.34001,1.04695,0.7361,0.6432,0.71008,0.58342,0.81448,1.07713,1.00191,7.00867e-05,7.00867e-05,7.00867e-05
9,16.3539,0.79238,1.10575,1.03047,0.72788,0.66052,0.71927,0.59573,0.79422,1.0487,0.99512,7.57344e-05,7.57344e-05,7.57344e-05
10,18.0807,0.81552,1.12065,1.00648,0.72724,0.66751,0.72688,0.60607,0.78281,1.02832,0.99096,8.0606e-05,8.0606e-05,8.0606e-05
11,19.7354,0.85152,1.05882,1.00759,0.72199,0.67083,0.73211,0.61092,0.78042,1.02229,0.98989,8.47014e-05,8.47014e-05,8.47014e-05
12,21.4119,0.73448,0.84495,0.98504,0.73324,0.66762,0.73708,0.61368,0.78317,1.01821,0.9894,8.80207e-05,8.80207e-05,8.80207e-05
13,23.0702,0.73532,0.79056,0.98148,0.72389,0.6702,0.73834,0.61386,0.78831,1.02116,0.99009,9.05638e-05,9.05638e-05,9.05638e-05
14,24.7147,0.81881,0.88091,1.00302,0.72327,0.66876,0.73883,0.61348,0.79082,1.01944,0.99062,9.23307e-05,9.23307e-05,9.23307e-05
15,26.3714,0.8481,1.0177,1.02219,0.73703,0.6643,0.74294,0.61512,0.79832,1.00824,0.99124,9.33215e-05,9.33215e-05,9.33215e-05
16,28.0012,0.73212,0.7121,0.97172,0.73696,0.66993,0.74729,0.61723,0.80142,0.99868,0.99069,9.35361e-05,9.35361e-05,9.35361e-05
17,29.6595,0.76954,0.79966,0.95168,0.74351,0.67044,0.75033,0.61988,0.80163,0.99057,0.98996,9.29746e-05,9.29746e-05,9.29746e-05
18,31.3797,0.68748,0.69247,0.95402,0.75316,0.66875,0.75435,0.6203,0.8124,0.98612,0.99162,9.16369e-05,9.16369e-05,9.16369e-05
19,33.0261,0.74515,0.68072,1.03179,0.75503,0.67171,0.75772,0.62025,0.82168,0.98077,0.99316,8.9523e-05,8.9523e-05,8.9523e-05
20,34.6558,0.71599,0.74114,0.96553,0.756,0.67269,0.75891,0.62074,0.82523,0.98035,0.99374,8.6633e-05,8.6633e-05,8.6633e-05
21,37.0044,0.79694,0.84162,0.98454,0.76805,0.66676,0.76332,0.62111,0.8345,0.96965,0.99474,8.29668e-05,8.29668e-05,8.29668e-05
22,38.7203,0.70792,0.70159,0.94253,0.7701,0.6704,0.76714,0.62247,0.8415,0.9618,0.9958,7.85245e-05,7.85245e-05,7.85245e-05
23,40.3865,0.71465,0.73176,0.94441,0.76825,0.67327,0.76886,0.62437,0.84056,0.95526,0.99517,7.3306e-05,7.3306e-05,7.3306e-05
24,42.0286,0.69252,0.68038,0.93495,0.77252,0.67357,0.77163,0.62594,0.84382,0.94753,0.99513,6.73113e-05,6.73113e-05,6.73113e-05
25,43.6592,0.66638,0.65567,0.9359,0.77164,0.67767,0.77314,0.62605,0.84811,0.94071,0.99599,6.05405e-05,6.05405e-05,6.05405e-05
26,45.2851,0.67224,0.67137,0.93446,0.77232,0.67704,0.77416,0.62646,0.85136,0.93735,0.99674,5.145e-05,5.145e-05,5.145e-05
27,46.8851,0.63792,0.59665,0.92032,0.74993,0.69234,0.77425,0.62575,0.85328,0.9354,0.99687,4.1748e-05,4.1748e-05,4.1748e-05
28,48.5003,0.7025,0.72868,0.95342,0.74451,0.69358,0.77433,0.62497,0.85554,0.93392,0.99746,3.2046e-05,3.2046e-05,3.2046e-05
29,50.0937,0.70509,0.71648,0.94821,0.74245,0.70062,0.77514,0.62487,0.8593,0.93123,0.99855,2.2344e-05,2.2344e-05,2.2344e-05
30,51.7217,0.6367,0.61309,0.91336,0.7347,0.7084,0.77522,0.62483,0.85928,0.92985,0.99834,1.2642e-05,1.2642e-05,1.2642e-05
