epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7594,0.99706,3.88154,1.15404,0.10692,0.07896,0.063,0.05172,0.95841,3.77136,1.15816,9.76869e-05,9.76869e-05,9.76869e-05
2,33.0222,0.90319,2.5907,1.09911,0.1327,0.13417,0.09016,0.07029,1.05473,3.38248,1.163,0.000186,0.000186,0.000186
3,48.0714,0.81292,2.0315,1.0521,0.09049,0.06003,0.04604,0.03112,1.26284,3.92852,1.29869,0.000264612,0.000264612,0.000264612
4,63.1864,0.76587,1.77943,1.02752,0.10805,0.13426,0.08103,0.06082,1.04936,3.59473,1.14959,0.000250341,0.000250341,0.000250341
5,78.1755,0.72829,1.6252,1.00648,0.14756,0.15384,0.11698,0.08698,1.15734,3.45927,1.22095,0.000235788,0.000235788,0.000235788
6,93.2866,0.71472,1.53412,0.99962,0.18431,0.17542,0.12393,0.09205,1.12161,3.44538,1.19097,0.000221235,0.000221235,0.000221235
7,108.333,0.7027,1.4662,0.99362,0.19454,0.18966,0.15066,0.11603,1.12803,3.35117,1.18739,0.000206682,0.000206682,0.000206682
8,123.543,0.68777,1.39554,0.98423,0.16728,0.14323,0.10421,0.07768,1.18863,3.34408,1.23361,0.000192129,0.000192129,0.000192129
9,138.692,0.67631,1.353,0.97918,0.15942,0.15137,0.11138,0.08295,1.13969,3.54807,1.18607,0.000177576,0.000177576,0.000177576
10,153.894,0.67149,1.31397,0.97461,0.09673,0.08793,0.05348,0.03601,1.30308,3.72806,1.25991,0.000163023,0.000163023,0.000163023
11,168.72,0.59068,1.21121,0.9367,0.17861,0.1507,0.09434,0.0696,1.11267,3.37621,1.17051,0.00014847,0.00014847,0.00014847
12,182.906,0.56879,1.13523,0.92634,0.13567,0.12812,0.0823,0.06238,1.20478,3.43125,1.22499,0.000133917,0.000133917,0.000133917
13,197.141,0.5599,1.0971,0.92459,0.25049,0.23199,0.18273,0.14164,1.05809,3.04153,1.15741,0.000119364,0.000119364,0.000119364
14,211.388,0.55847,1.07756,0.92053,0.27254,0.23035,0.19869,0.15206,1.07048,3.0784,1.15609,0.000104811,0.000104811,0.000104811
15,225.505,0.55076,1.05101,0.91783,0.18433,0.18028,0.12742,0.09464,1.14603,3.25483,1.18818,9.0258e-05,9.0258e-05,9.0258e-05
16,239.732,0.54597,1.02967,0.91516,0.23009,0.2265,0.18359,0.14567,1.08006,2.98308,1.16212,7.5705e-05,7.5705e-05,7.5705e-05
17,253.864,0.54216,1.01288,0.91328,0.22758,0.20099,0.16167,0.12409,1.11124,3.19641,1.17924,6.1152e-05,6.1152e-05,6.1152e-05
18,268.079,0.53438,0.99021,0.91028,0.25367,0.19167,0.16261,0.12555,1.1147,3.21,1.17244,4.6599e-05,4.6599e-05,4.6599e-05
19,282.319,0.53358,0.97898,0.90944,0.22038,0.18612,0.1521,0.11704,1.14706,3.24462,1.19042,3.2046e-05,3.2046e-05,3.2046e-05
20,296.528,0.52685,0.96356,0.90701,0.23099,0.21258,0.17193,0.13347,1.10218,3.14653,1.17095,1.7493e-05,1.7493e-05,1.7493e-05
