epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,234.892,1.48313,2.89113,1.36152,0.33129,0.32913,0.27249,0.18936,1.29042,2.53411,1.19971,0.00999709,0.00333236,0.00999709,0.00333236,0.00999709,0.00333236,0.00999709,0.00333236
2,432.844,1.35222,2.0144,1.27696,0.2559,0.23364,0.18939,0.1257,1.35572,2.88872,1.22956,0.0190072,0.00633575,0.0190072,0.00633575,0.0190072,0.00633575,0.0190072,0.00633575
3,616.539,1.33927,1.86856,1.26854,0.28653,0.21607,0.1859,0.12661,1.40718,3.0807,1.27832,0.0270274,0.00900913,0.0270274,0.00900913,0.0270274,0.00900913,0.0270274,0.00900913
4,795.649,1.30759,1.7418,1.25477,0.39831,0.32004,0.29719,0.20846,1.33081,2.53451,1.21591,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,974.905,1.26455,1.62858,1.22698,0.49799,0.43792,0.4268,0.306,1.23497,2.11129,1.1748,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,1153.99,1.23036,1.55554,1.20778,0.54235,0.45012,0.4741,0.33988,1.21896,1.92319,1.16204,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,1333.07,1.20172,1.50718,1.18946,0.52743,0.44781,0.45815,0.34074,1.13017,1.99304,1.12651,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,1512.49,1.17779,1.47254,1.17698,0.56318,0.50661,0.52811,0.39727,1.08771,1.7273,1.09467,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,1691.98,1.15508,1.43931,1.16466,0.58283,0.49859,0.52294,0.39187,1.08848,1.71322,1.09949,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,1872.11,1.13673,1.41278,1.15343,0.59716,0.51805,0.54099,0.41123,1.06373,1.65999,1.08773,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,2039.4,0.90659,1.08155,1.06165,0.61849,0.47365,0.51817,0.40053,1.03888,1.79485,1.08569,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,2206.22,0.85407,1.04433,1.03836,0.58589,0.4478,0.48139,0.37513,1.037,1.94122,1.09167,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,2373.65,0.82373,1.01661,1.02266,0.56191,0.43172,0.44796,0.34698,1.05277,2.05287,1.1043,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,2540.51,0.80132,0.99222,1.01199,0.53885,0.42754,0.43562,0.33956,1.04201,2.10642,1.10415,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,2707.4,0.7822,0.9707,1.00395,0.53224,0.41971,0.42619,0.33288,1.04374,2.14798,1.10769,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,2874.24,0.76672,0.94961,0.99487,0.5233,0.42058,0.42229,0.32959,1.05165,2.1668,1.11117,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,3042.06,0.75094,0.9294,0.98733,0.51126,0.41853,0.41322,0.3221,1.06012,2.20257,1.11386,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,3209.3,0.73733,0.90962,0.98067,0.51298,0.41039,0.41012,0.31987,1.05965,2.21332,1.11241,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,3376.48,0.72401,0.8927,0.97551,0.51318,0.40843,0.40981,0.32015,1.05861,2.21411,1.11071,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,3543.64,0.71044,0.87291,0.97026,0.51631,0.40969,0.41031,0.32065,1.05803,2.21284,1.10948,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
