epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,209.18,0.80779,2.32704,1.04956,0.18998,0.17206,0.12172,0.09443,1.12988,3.25528,1.18059,0.0099968,0.00333227,0.0099968,0.00333227,0.0099968,0.00333227,0.0099968,0.00333227
2,385.132,0.70808,1.30248,0.99198,0.14294,0.10167,0.06476,0.0395,1.36906,3.6365,1.28213,0.019007,0.00633565,0.019007,0.00633565,0.019007,0.00633565,0.019007,0.00633565
3,548.371,0.70528,1.18609,0.99245,0.22387,0.14377,0.11961,0.08014,1.42686,3.60554,1.32432,0.0270271,0.00900904,0.0270271,0.00900904,0.0270271,0.00900904,0.0270271,0.00900904
4,706.57,0.68067,1.08381,0.98349,0.17183,0.09131,0.07566,0.04892,1.64345,3.94172,1.42662,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,865.607,0.64385,0.98557,0.96722,0.31275,0.17817,0.16671,0.12871,1.20794,3.43709,1.22844,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,1024.83,0.62251,0.93012,0.95721,0.24869,0.10111,0.08227,0.05637,1.40922,4.03264,1.32799,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,1183.83,0.60659,0.89469,0.94944,0.27884,0.12668,0.11626,0.08099,1.38906,3.79968,1.33176,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,1342.98,0.59271,0.86221,0.94361,0.24883,0.10895,0.09942,0.07015,1.44632,3.99569,1.35987,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,1501.69,0.58262,0.83703,0.93874,0.256,0.09721,0.08824,0.05979,1.48462,4.11534,1.40133,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,1661.05,0.57504,0.82096,0.93459,0.25618,0.12336,0.1135,0.08172,1.41736,3.78894,1.3619,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,1811.19,0.49681,0.70384,0.89586,0.28095,0.13318,0.12562,0.09155,1.37357,3.93731,1.32689,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,1960.7,0.4889,0.68602,0.89162,0.31545,0.14638,0.13934,0.10238,1.34556,3.8009,1.31342,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,2110.69,0.48098,0.66919,0.88817,0.30091,0.13962,0.12561,0.09114,1.35826,3.90919,1.31708,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,2260.41,0.47533,0.65468,0.88495,0.30579,0.1436,0.13109,0.09598,1.28598,3.8778,1.28195,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,2410.24,0.4677,0.63919,0.88136,0.31467,0.14077,0.12885,0.0947,1.2937,3.95821,1.29017,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,2560.35,0.46147,0.62582,0.87808,0.30994,0.13827,0.12705,0.09264,1.30296,3.93006,1.29466,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,2710,0.45503,0.61185,0.87511,0.30417,0.13194,0.1218,0.08848,1.34029,3.96872,1.31433,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,2859.46,0.44814,0.59622,0.87321,0.29209,0.13163,0.12134,0.08804,1.35144,3.98867,1.3207,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,3009.35,0.44158,0.58373,0.86962,0.29124,0.13222,0.12087,0.0879,1.35213,4.00014,1.32344,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,3159.45,0.43625,0.57087,0.86734,0.28171,0.12807,0.11831,0.08638,1.35303,4.02601,1.32632,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
