epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,218.72,1.49015,2.92156,1.36647,0.29812,0.36961,0.27948,0.19851,1.29153,2.30745,1.19186,0.0099968,0.00333227,0.0099968,0.00333227,0.0099968,0.00333227,0.0099968,0.00333227
2,402.682,1.35315,2.0117,1.28002,0.4244,0.38534,0.34574,0.23489,1.39725,2.40451,1.22469,0.019007,0.00633565,0.019007,0.00633565,0.019007,0.00633565,0.019007,0.00633565
3,573.349,1.33851,1.86769,1.27062,0.48981,0.36742,0.37466,0.24998,1.41286,2.46736,1.23809,0.0270271,0.00900904,0.0270271,0.00900904,0.0270271,0.00900904,0.0270271,0.00900904
4,738.483,1.30916,1.74641,1.25428,0.48071,0.41318,0.39685,0.28649,1.23925,2.24382,1.18451,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,903.557,1.26426,1.62924,1.22719,0.52885,0.43653,0.44832,0.32581,1.17638,2.03985,1.14723,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,1068.82,1.23118,1.55873,1.20874,0.55357,0.4742,0.48133,0.35764,1.13979,1.90034,1.14086,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,1234.48,1.20119,1.50596,1.19046,0.54694,0.44378,0.45969,0.33162,1.19263,2.03827,1.15192,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,1399.43,1.17945,1.47407,1.17592,0.56911,0.47237,0.48739,0.35709,1.14294,1.86522,1.12316,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,1564.8,1.15591,1.44141,1.16357,0.58437,0.49834,0.51691,0.3851,1.11929,1.77257,1.11262,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,1729.84,1.12506,1.41142,1.14881,0.59612,0.52134,0.53695,0.4041,1.08982,1.71756,1.10073,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,1882.18,0.8816,1.07103,1.05035,0.58568,0.45807,0.48044,0.36902,1.06872,1.96129,1.09959,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,2034.53,0.84174,1.03722,1.03146,0.57621,0.44495,0.47022,0.37001,1.03318,1.92337,1.08948,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,2186.81,0.81576,1.01241,1.01989,0.54004,0.4586,0.46073,0.36049,1.02479,1.92479,1.08715,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,2338.99,0.79724,0.99013,1.00969,0.52577,0.45055,0.44084,0.34492,1.03678,2.02529,1.09106,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,2491.18,0.77665,0.9659,0.99972,0.54148,0.45234,0.44807,0.34938,1.03868,1.98914,1.09347,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,2643.86,0.7612,0.94548,0.99223,0.53082,0.43941,0.43502,0.34062,1.04146,2.03079,1.09812,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,2796.42,0.74571,0.92451,0.98498,0.53374,0.42961,0.43325,0.33875,1.04464,2.04318,1.0985,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,2948.53,0.73022,0.90503,0.97877,0.54015,0.42411,0.43028,0.33598,1.04816,2.05469,1.09996,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,3100.75,0.71876,0.88837,0.97353,0.52689,0.42983,0.42559,0.3316,1.05303,2.07365,1.10416,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,3253.17,0.70606,0.87103,0.96737,0.53082,0.4152,0.42058,0.32826,1.05645,2.09609,1.10652,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
