epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,297.811,1.38939,2.16989,1.32115,0.4724,0.45151,0.43821,0.32994,1.0895,1.80858,1.06865,0.0099968,0.00333227,0.0099968,0.00333227,0.0099968,0.00333227,0.0099968,0.00333227
2,560.168,1.21694,1.51673,1.20199,0.61603,0.53998,0.56048,0.40304,1.12526,1.59378,1.11993,0.019007,0.00633565,0.019007,0.00633565,0.019007,0.00633565,0.019007,0.00633565
3,809.524,1.20225,1.46574,1.19816,0.58423,0.48118,0.49918,0.3518,1.20613,1.88868,1.17316,0.0270271,0.00900904,0.0270271,0.00900904,0.0270271,0.00900904,0.0270271,0.00900904
4,1053.99,1.15584,1.39437,1.17473,0.6918,0.59792,0.64431,0.46203,1.13418,1.41405,1.12212,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,1298.36,1.07986,1.29088,1.1351,0.74823,0.63812,0.7069,0.53488,1.01159,1.18154,1.07641,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,1542.8,0.99891,1.21751,1.09811,0.77574,0.65869,0.73574,0.55589,1.02961,1.09676,1.07347,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,1787.13,0.95406,1.16643,1.07651,0.78334,0.67604,0.7516,0.57664,0.99655,1.02681,1.06582,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,2031.49,0.9257,1.13062,1.06091,0.78725,0.69228,0.76499,0.59053,0.97024,1.00517,1.0475,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,2276.04,0.90138,1.09857,1.05029,0.79742,0.69872,0.7674,0.60474,0.92888,0.98903,1.03477,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,2520.91,0.88059,1.07259,1.04041,0.78394,0.7097,0.77617,0.60767,0.93719,0.98117,1.03379,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,2754.96,0.67468,0.80262,0.95888,0.74634,0.65632,0.70931,0.57167,0.8852,1.17189,1.01811,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,2988.48,0.65011,0.77882,0.94852,0.732,0.60691,0.66099,0.54388,0.85481,1.36023,1.01594,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,3221.99,0.63264,0.75727,0.94211,0.72235,0.6032,0.65449,0.5383,0.85566,1.37294,1.01507,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,3455.78,0.61897,0.73984,0.93577,0.75321,0.58445,0.65761,0.54192,0.84614,1.36044,1.01099,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,3688.9,0.60353,0.71955,0.92816,0.76904,0.60636,0.67908,0.56121,0.83381,1.2877,1.00432,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,3922.47,0.59009,0.69951,0.92286,0.77766,0.60931,0.68551,0.56783,0.82798,1.26082,1.00137,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,4156.38,0.57718,0.68134,0.91724,0.76578,0.6115,0.67613,0.55936,0.83199,1.29683,1.00315,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,4389.48,0.56398,0.66353,0.91166,0.74359,0.61705,0.66902,0.55313,0.83418,1.32271,1.00288,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,4623.23,0.55299,0.64854,0.90753,0.75093,0.59908,0.66474,0.55061,0.83399,1.33701,1.00243,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,4856.53,0.54224,0.63196,0.90276,0.75749,0.58807,0.65567,0.54399,0.83429,1.36675,1.00312,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
