epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.03008,1.10205,1.27623,1.14309,0.81169,0.7077,0.79107,0.61516,0.93712,0.94094,1.02794,8.82e-06,8.82e-06,8.82e-06
2,5.1543,1.12773,1.63141,1.20372,0.80873,0.7317,0.80676,0.64203,0.88055,0.87622,1.00853,1.99009e-05,1.99009e-05,1.99009e-05
3,7.29618,0.8221,1.08292,1.02613,0.83026,0.74064,0.81998,0.67522,0.79441,0.80915,0.98144,3.02056e-05,3.02056e-05,3.02056e-05
4,9.40908,0.80263,0.84169,1.02832,0.83344,0.75152,0.83,0.70275,0.7217,0.76191,0.96041,3.97341e-05,3.97341e-05,3.97341e-05
5,11.6778,0.71407,0.6836,0.97978,0.84349,0.75095,0.83568,0.7155,0.69655,0.742,0.95199,4.84865e-05,4.84865e-05,4.84865e-05
6,13.8206,0.7665,0.75095,1.0031,0.85237,0.75063,0.84046,0.72514,0.67972,0.72893,0.9465,5.64627e-05,5.64627e-05,5.64627e-05
7,15.9411,0.80608,0.62734,1.02386,0.84438,0.75821,0.84484,0.7315,0.67242,0.72209,0.94387,6.36628e-05,6.36628e-05,6.36628e-05
8,18.0609,0.74285,0.71146,0.96688,0.84934,0.76103,0.84946,0.73663,0.66843,0.70666,0.9408,7.00867e-05,7.00867e-05,7.00867e-05
9,20.1918,0.65831,0.63057,0.95334,0.8503,0.76855,0.85357,0.74047,0.665,0.6921,0.93802,7.57344e-05,7.57344e-05,7.57344e-05
10,22.3455,0.75013,0.72856,0.97201,0.85798,0.77205,0.85827,0.74241,0.66638,0.67062,0.93511,8.0606e-05,8.0606e-05,8.0606e-05
11,24.46,0.66173,0.57447,0.89783,0.85513,0.77886,0.86232,0.73816,0.68719,0.65212,0.93737,8.47014e-05,8.47014e-05,8.47014e-05
12,26.5872,0.64617,0.51772,0.93327,0.85228,0.78892,0.86526,0.731,0.71959,0.6407,0.94416,8.80207e-05,8.80207e-05,8.80207e-05
13,28.7131,0.64197,0.47555,0.92081,0.84788,0.79555,0.86644,0.73066,0.72504,0.63737,0.94537,9.05638e-05,9.05638e-05,9.05638e-05
14,30.7938,0.65805,0.4844,0.92982,0.84346,0.79576,0.8665,0.73228,0.71829,0.63496,0.94379,9.23307e-05,9.23307e-05,9.23307e-05
15,32.882,0.78106,0.58994,0.98807,0.84405,0.7923,0.8667,0.73544,0.70567,0.63649,0.94166,9.33215e-05,9.33215e-05,9.33215e-05
16,34.9236,0.57967,0.40006,0.90274,0.84154,0.79389,0.86621,0.73653,0.70039,0.63916,0.94107,9.35361e-05,9.35361e-05,9.35361e-05
17,37.0754,0.5996,0.41884,0.88097,0.83473,0.80006,0.8669,0.73803,0.69578,0.63827,0.94031,9.29746e-05,9.29746e-05,9.29746e-05
18,39.1203,0.5688,0.39539,0.89474,0.84057,0.79756,0.86831,0.73869,0.69542,0.63377,0.93983,9.16369e-05,9.16369e-05,9.16369e-05
19,41.1819,0.63363,0.4251,0.95493,0.84027,0.7998,0.86955,0.7376,0.69952,0.62652,0.93991,8.9523e-05,8.9523e-05,8.9523e-05
20,43.284,0.57312,0.41317,0.89421,0.84253,0.80117,0.87013,0.73677,0.70583,0.62359,0.94086,8.6633e-05,8.6633e-05,8.6633e-05
21,45.9102,0.59517,0.42086,0.89905,0.84495,0.80416,0.87231,0.735,0.71808,0.61606,0.94232,8.29668e-05,8.29668e-05,8.29668e-05
22,47.963,0.57621,0.40779,0.88025,0.84417,0.8054,0.87296,0.73419,0.72312,0.61543,0.94321,7.85245e-05,7.85245e-05,7.85245e-05
23,50.0211,0.62383,0.41805,0.89797,0.84075,0.80813,0.87333,0.73538,0.71947,0.6125,0.94171,7.3306e-05,7.3306e-05,7.3306e-05
24,52.0741,0.54358,0.38409,0.88266,0.83954,0.80911,0.87408,0.73629,0.71811,0.61037,0.94127,6.73113e-05,6.73113e-05,6.73113e-05
25,54.1008,0.5227,0.36084,0.87156,0.83915,0.8122,0.87484,0.73723,0.71738,0.60849,0.94109,6.05405e-05,6.05405e-05,6.05405e-05
