dataset,category,run_dir,backbone,layers,coreset_sampling_ratio,num_neighbors,train_batch_size,eval_batch_size,num_workers,seed,train_budget_ratio,train_budget_original_count,train_budget_count,image_AUROC,image_F1Score,pixel_AUROC,pixel_F1Score,method,budget_tag,num_neighbours,encoder_name,masking,auto_masking,coreset_subsampling,sampling_ratio,precision
mvtec_ad,toothbrush,experiments/runs/no_cad/budget_ablation/patchcore/budget_005/mvtec_ad/toothbrush,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.05,60,3,0.8861111402511597,0.90625,0.981308102607727,0.5681246519088745,PatchCore,budget_005,,,,,,,
mvtec_ad,capsule,experiments/runs/no_cad/budget_ablation/patchcore/budget_005/mvtec_ad/capsule,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.05,219,11,0.859194278717041,0.943231463432312,0.9870688319206238,0.49035316705703735,PatchCore,budget_005,,,,,,,
mvtec_ad,cable,experiments/runs/no_cad/budget_ablation/patchcore/budget_005/mvtec_ad/cable,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.05,224,12,0.9606446623802185,0.9139785170555115,0.9772366285324097,0.6115664839744568,PatchCore,budget_005,,,,,,,
visa,macaroni2,experiments/runs/no_cad/budget_ablation/patchcore/budget_005/visa/macaroni2,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.05,900,45,0.6165000200271606,0.6823529601097107,0.9508264064788818,0.05181581526994705,PatchCore,budget_005,,,,,,,
visa,capsules,experiments/runs/no_cad/budget_ablation/patchcore/budget_005/visa/capsules,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.05,542,28,0.7473333477973938,0.772357702255249,0.9688913822174072,0.4992847442626953,PatchCore,budget_005,,,,,,,
visa,pcb1,experiments/runs/no_cad/budget_ablation/patchcore/budget_005/visa/pcb1,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.05,904,46,0.8890000581741333,0.8247422575950623,0.9938793182373047,0.7511955499649048,PatchCore,budget_005,,,,,,,
mvtec_ad,toothbrush,experiments/runs/no_cad/budget_ablation/patchcore/budget_010/mvtec_ad/toothbrush,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.1,60,6,0.8972222805023193,0.920634925365448,0.9810265898704529,0.5676379799842834,PatchCore,budget_010,,,,,,,
mvtec_ad,capsule,experiments/runs/no_cad/budget_ablation/patchcore/budget_010/mvtec_ad/capsule,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.1,219,22,0.9130434989929199,0.959276020526886,0.98832768201828,0.5046992897987366,PatchCore,budget_010,,,,,,,
mvtec_ad,cable,experiments/runs/no_cad/budget_ablation/patchcore/budget_010/mvtec_ad/cable,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.1,224,23,0.9449025988578796,0.8979591727256775,0.978788435459137,0.61119544506073,PatchCore,budget_010,,,,,,,
visa,macaroni2,experiments/runs/no_cad/budget_ablation/patchcore/budget_010/visa/macaroni2,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.1,900,90,0.624299943447113,0.6913580298423767,0.9559638500213623,0.05753827840089798,PatchCore,budget_010,,,,,,,
visa,capsules,experiments/runs/no_cad/budget_ablation/patchcore/budget_010/visa/capsules,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.1,542,55,0.7024999856948853,0.7686274647712708,0.9719045162200928,0.5005705952644348,PatchCore,budget_010,,,,,,,
