dataset,category,run_dir,imagenet_dir,model_size,lr,weight_decay,padding,pad_maps,max_epochs,max_steps,check_val_every_n_epoch,train_batch_size,eval_batch_size,num_workers,seed,image_AUROC,image_F1Score,pixel_AUROC,pixel_F1Score
visa,candle,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/efficientad/visa/candle,/home/ctao40/sim2real_industrial_review/datasets/imagenette,small,0.0001,1e-05,False,True,100,,100,1,32,8,42,0.8432000279426575,0.7659574747085571,0.8931414484977722,0.17186236381530762
visa,capsules,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/efficientad/visa/capsules,/home/ctao40/sim2real_industrial_review/datasets/imagenette,small,0.0001,1e-05,False,True,100,,100,1,32,8,42,0.6046666502952576,0.7644787430763245,0.9710288047790527,0.4084358215332031
visa,cashew,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/efficientad/visa/cashew,/home/ctao40/sim2real_industrial_review/datasets/imagenette,small,0.0001,1e-05,False,True,100,,100,1,32,8,42,0.9453999996185303,0.9025641083717346,0.9860382676124573,0.6599120497703552
visa,chewinggum,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/efficientad/visa/chewinggum,/home/ctao40/sim2real_industrial_review/datasets/imagenette,small,0.0001,1e-05,False,True,100,,100,1,32,8,42,0.982200026512146,0.9538461565971375,0.9863463640213013,0.3970891833305359
visa,fryum,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/efficientad/visa/fryum,/home/ctao40/sim2real_industrial_review/datasets/imagenette,small,0.0001,1e-05,False,True,100,,100,1,32,8,42,0.9300000667572021,0.8936170339584351,0.9704657196998596,0.5195221304893494
visa,macaroni1,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/efficientad/visa/macaroni1,/home/ctao40/sim2real_industrial_review/datasets/imagenette,small,0.0001,1e-05,False,True,100,,100,1,32,8,42,0.9535999298095703,0.8999999761581421,0.9933509826660156,0.17704123258590698
visa,macaroni2,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/efficientad/visa/macaroni2,/home/ctao40/sim2real_industrial_review/datasets/imagenette,small,0.0001,1e-05,False,True,100,,100,1,32,8,42,0.8628000020980835,0.80402010679245,0.9900264143943787,0.13055181503295898
visa,pcb1,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/efficientad/visa/pcb1,/home/ctao40/sim2real_industrial_review/datasets/imagenette,small,0.0001,1e-05,False,True,100,,100,1,32,8,42,0.9544999599456787,0.8855721354484558,0.9928559064865112,0.6979779005050659
visa,pcb2,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/efficientad/visa/pcb2,/home/ctao40/sim2real_industrial_review/datasets/imagenette,small,0.0001,1e-05,False,True,100,,100,1,32,8,42,0.9712000489234924,0.9175257682800293,0.9867592453956604,0.2509807050228119
visa,pcb3,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/efficientad/visa/pcb3,/home/ctao40/sim2real_industrial_review/datasets/imagenette,small,0.0001,1e-05,False,True,100,,100,1,32,8,42,0.9773266911506653,0.907216489315033,0.9921579360961914,0.32145777344703674
visa,pcb4,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/efficientad/visa/pcb4,/home/ctao40/sim2real_industrial_review/datasets/imagenette,small,0.0001,1e-05,False,True,100,,100,1,32,8,42,0.9881188273429871,0.9702970385551453,0.9666292667388916,0.41751787066459656
visa,pipe_fryum,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/efficientad/visa/pipe_fryum,/home/ctao40/sim2real_industrial_review/datasets/imagenette,small,0.0001,1e-05,False,True,100,,100,1,32,8,42,0.97079998254776,0.9405940771102905,0.9904388189315796,0.7158072590827942
