dataset,category,run_dir,backbone,layers,coreset_sampling_ratio,num_neighbors,train_batch_size,eval_batch_size,num_workers,seed,image_AUROC,image_F1Score,pixel_AUROC,pixel_F1Score
mvtec_ad,bottle,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/patchcore/mvtec_ad/bottle,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,1.0,0.9919999837875366,0.9856192469596863,0.7268264889717102
mvtec_ad,cable,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/patchcore/mvtec_ad/cable,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.9848201274871826,0.967391312122345,0.9846956133842468,0.6395448446273804
mvtec_ad,capsule,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/patchcore/mvtec_ad/capsule,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.9936178922653198,0.9814814925193787,0.9901953339576721,0.5171127915382385
mvtec_ad,carpet,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/patchcore/mvtec_ad/carpet,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.9867576360702515,0.9772727489471436,0.9906892776489258,0.6070366501808167
mvtec_ad,grid,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/patchcore/mvtec_ad/grid,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.9899749159812927,0.9649122953414917,0.9832541942596436,0.38650551438331604
mvtec_ad,hazelnut,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/patchcore/mvtec_ad/hazelnut,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,1.0,0.9928057789802551,0.9883208870887756,0.6323942542076111
mvtec_ad,leather,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/patchcore/mvtec_ad/leather,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,1.0,0.994535505771637,0.9922866821289062,0.44015270471572876
mvtec_ad,metal_nut,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/patchcore/mvtec_ad/metal_nut,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.997556209564209,0.9837837815284729,0.9870527386665344,0.8401347398757935
mvtec_ad,pill,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/patchcore/mvtec_ad/pill,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.9536279439926147,0.956204354763031,0.9813077449798584,0.7204177975654602
mvtec_ad,screw,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/patchcore/mvtec_ad/screw,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.9598278999328613,0.9504132270812988,0.9887897968292236,0.368919312953949
mvtec_ad,tile,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/patchcore/mvtec_ad/tile,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,1.0,0.9940119981765747,0.9550213813781738,0.6186549663543701
mvtec_ad,toothbrush,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/patchcore/mvtec_ad/toothbrush,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.9055555462837219,0.920634925365448,0.9888352155685425,0.5945045948028564
mvtec_ad,transistor,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/patchcore/mvtec_ad/transistor,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.994583249092102,0.949999988079071,0.9722598195075989,0.6058889031410217
mvtec_ad,wood,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/patchcore/mvtec_ad/wood,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.9859648942947388,0.9579831957817078,0.9315213561058044,0.4663684368133545
mvtec_ad,zipper,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/patchcore/mvtec_ad/zipper,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.9779411554336548,0.9831932783126831,0.9814977645874023,0.5442707538604736
