dataset,category,run_dir,backbone,layers,coreset_sampling_ratio,num_neighbors,train_batch_size,eval_batch_size,num_workers,seed,image_AUROC,image_F1Score,pixel_AUROC,pixel_F1Score
visa,candle,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/patchcore/visa/candle,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.9750000834465027,0.932692289352417,0.9925557971000671,0.33030566573143005
visa,capsules,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/patchcore/visa/capsules,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.7611666917800903,0.7753304243087769,0.983755886554718,0.6124961376190186
visa,cashew,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/patchcore/visa/cashew,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.965399980545044,0.9333333373069763,0.991242527961731,0.6340975761413574
visa,chewinggum,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/patchcore/visa/chewinggum,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.9928000569343567,0.9743589758872986,0.9900559186935425,0.5879887342453003
visa,fryum,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/patchcore/visa/fryum,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.9545999765396118,0.9090909361839294,0.9463035464286804,0.4174843728542328
visa,macaroni1,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/patchcore/visa/macaroni1,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.8110999464988708,0.7413793206214905,0.9662720561027527,0.12860749661922455
visa,macaroni2,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/patchcore/visa/macaroni2,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.6661999821662903,0.6852589845657349,0.9638404250144958,0.08638589829206467
visa,pcb1,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/patchcore/visa/pcb1,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.9343000650405884,0.8648648858070374,0.9962365627288818,0.7683062553405762
visa,pcb2,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/patchcore/visa/pcb2,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.9254000186920166,0.8584905862808228,0.9812831878662109,0.17351163923740387
visa,pcb3,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/patchcore/visa/pcb3,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.9307920932769775,0.8600000143051147,0.9812551140785217,0.3355156481266022
visa,pcb4,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/patchcore/visa/pcb4,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.9873266816139221,0.9346733689308167,0.9841644167900085,0.4237494170665741
visa,pipe_fryum,/home/ctao40/sim2real_industrial_review/experiments/runs/no_cad/patchcore/visa/pipe_fryum,wide_resnet50_2,"layer2,layer3",0.1,9,32,32,8,42,0.9923999905586243,0.9751243591308594,0.991568922996521,0.6077448129653931
